number,date_time,temp,RH,site,block,treatment
187,6/16/2017 5:00,66.087,92.737,CBE,1,soy
188,6/16/2017 5:30,68.227,88.945,CBE,1,soy
189,6/16/2017 6:00,67.627,92.579,CBE,1,soy
190,6/16/2017 6:30,66.857,94.515,CBE,1,soy
191,6/16/2017 7:00,67.285,95.63,CBE,1,soy
192,6/16/2017 7:30,68.999,93.944,CBE,1,soy
193,6/16/2017 8:00,69.685,90.226,CBE,1,soy
194,6/16/2017 8:30,75.551,78.269,CBE,1,soy
195,6/16/2017 9:00,76.464,74.363,CBE,1,soy
196,6/16/2017 9:30,79.655,66.346,CBE,1,soy
197,6/16/2017 10:00,74.943,70.551,CBE,1,soy
198,6/16/2017 10:30,79.216,64.48,CBE,1,soy
199,6/16/2017 11:00,78.91,60.895,CBE,1,soy
200,6/16/2017 11:30,80.668,57.598,CBE,1,soy
201,6/16/2017 12:00,82.263,51.908,CBE,1,soy
202,6/16/2017 12:30,78.382,58.341,CBE,1,soy
203,6/16/2017 13:00,77.378,66.821,CBE,1,soy
204,6/16/2017 13:30,76.203,67.338,CBE,1,soy
205,6/16/2017 14:00,79.92,57.785,CBE,1,soy
206,6/16/2017 14:30,79.743,61.03,CBE,1,soy
207,6/16/2017 15:00,79.612,57.447,CBE,1,soy
208,6/16/2017 15:30,80.625,57.938,CBE,1,soy
209,6/16/2017 16:00,78.777,62.942,CBE,1,soy
210,6/16/2017 16:30,81.775,58.972,CBE,1,soy
211,6/16/2017 17:00,85.577,52.638,CBE,1,soy
212,6/16/2017 17:30,84.049,51.594,CBE,1,soy
213,6/16/2017 18:00,84.587,48.41,CBE,1,soy
214,6/16/2017 18:30,85.894,46.482,CBE,1,soy
215,6/16/2017 19:00,87.073,46.562,CBE,1,soy
216,6/16/2017 19:30,87.073,44.791,CBE,1,soy
217,6/16/2017 20:00,87.3,47.492,CBE,1,soy
218,6/16/2017 20:30,81.199,54.116,CBE,1,soy
219,6/16/2017 21:00,71.49,77.804,CBE,1,soy
